物件名,平米単価,家賃,管理費・共益費,敷金,礼金,保証金,敷引・償却,部屋の特徴・設備,所在地,駅徒歩,間取り,間取り詳細,専有面積,バルコニー面積,階,向き,建物種別,構造,階建,築年数,築年月,損保,駐車場,入居,取引態様,条件,取り扱い店舗物件コード,SUUMO物件コード,総戸数,情報更新日,次回更新日,契約期間,仲介手数料,保証会社,ほか初期費用,ほか諸費用,備考,URL
ラトゥール金池,1269.84127,32000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、TVインターホン、エレベーター、洗面化粧台、駐輪場、CATV、プロパンガス,大分県大分市金池町１,ＪＲ日豊本線/大分駅 歩8分,1K,-,25.2,-,9階,南,マンション,鉄筋コン,9階/9階建,築36年,1989年1月,要,-,即,仲介,フリーレント1ヶ月,112580902,100346130831,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　３１，３６０円　更新無,合計6.34万円（内訳：鍵交換代17600円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用2600円/月,-,https://suumo.jp/chintai/jnc_000085350750/?bc=100346130831
ラトゥール金池,1257.739938,65000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、TVインターホン、温水洗浄便座、エレベーター、洗面化粧台、駐輪場、CATV、防犯カメラ、プロパンガス,大分県大分市金池町１,ＪＲ日豊本線/大分駅 歩8分,2LDK,-,51.68,-,9階,南,マンション,鉄筋コン,9階/9階建,築36年,1989年1月,要,敷地内11000円,相談,仲介,二人入居可,112580905,100374631502,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　６６，５６０円　更新無,合計7.44万円（内訳：鍵交換代17600円/その他初期費用56760円）,安心サポート1600円/月　その他月額負担費用2600円/月,-,https://suumo.jp/chintai/jnc_000089723320/?bc=100374631502
サンシティ吉成,1189.61788,33000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、室内洗濯置、システムキッチン、南向き、エレベーター、駐輪場、即入居可、バイク置場、2沿線利用可、フリーレント、保証金不要、3駅以上利用可、駅徒歩10分以内、全居室6畳以上、敷金・礼金不要、初期費用カード決済可、全室照明付,大分県大分市金池町１,"ＪＲ日豊本線/大分駅 歩8分
ＪＲ久大本線/古国府駅 歩22分
ＪＲ日豊本線/牧駅 歩36分",1DK,洋6,27.74,-,9階,南,マンション,鉄骨鉄筋,9階/11階建,築35年,1990年4月,1.8万円2年,-,即,仲介,フリーレント1ヶ月,2180796,100335102234,2戸,2024/06/28,次回更新日は情報更新日より８日以内,-,-,保証会社利用必 初回保証料：月額総賃料の８０％,合計3.35万円（内訳：抗菌施工代:17600円、ファイテック:13860円、アルソックロック:2000円）,安心入居サポート:16500円、クリーニング代:38500円 水道代2000円,短期解約違約金あり,https://suumo.jp/chintai/jnc_000090645780/?bc=100335102234
サンシティ吉成,1333.872272,33000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、フローリング、陽当り良好、シューズボックス、南向き、エレベーター、駐輪場、即入居可、照明付、保証人不要、冷蔵庫、全居室フローリング、洗濯機、フリーレント、食器洗乾燥機、眺望良好、全室南向き、初期費用10万円以下、南面リビング、電子レンジ、家電付、家具付、3駅以上利用可、3沿線以上利用可、駅徒歩10分以内、当社管理物件、全居室6畳以上、全居室8畳以上、敷金・礼金不要、IT重説 対応物件、LGBTフレンドリー、初期費用カード決済可,大分県大分市金池町１,"ＪＲ久大本線/大分駅 歩8分
ＪＲ豊肥本線/大分駅 歩8分
ＪＲ日豊本線/大分駅 歩8分",1DK,洋14,24.74,-,8階,南,マンション,鉄骨鉄筋,8階/11階建,築35年,1990年4月,-,-,即,代理,フリーレント1ヶ月,9816792,100377941302,-,2024/06/28,次回更新日は情報更新日より１５日以内,普通借家 1年,1.1ヶ月,保証会社利用必 初回契約時：70％、月額：2％、最低月額保証料800円　学生契約は初回保証料1万円（月額保証料なし）,合計1.87万円（内訳：入居前殺虫作業　５５００円税込　鍵交換代　１３２００円税込）,Ｔサポートプラス　１６５０円／月額　更新事務手数料　６６００円／更新時　ハウスクリーニング　４４０００円／退去時　水道料　２７５０円／月額,JR久大本線 古国府駅徒歩21分/巡回管理/月額3300円でサブスク家電（冷蔵庫・洗濯機・電子レンジ・掃除機）ご利用可能,https://suumo.jp/chintai/jnc_000090209451/?bc=100377941302
サンシティ吉成,1455.133387,36000,4700円,-,-,-,-,バストイレ別、バルコニー、エアコン、TVインターホン、温水洗浄便座、エレベーター、駐輪場、CATV、オール電化,大分県大分市金池町１,ＪＲ日豊本線/大分駅 歩6分,1DK,-,24.74,-,8階,南,マンション,鉄骨鉄筋,8階/11階建,築35年,1990年4月,要,-,相談,仲介,フリーレント1ヶ月,486060805,100362379176,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　３５，８４０円　更新無,合計2.42万円（内訳：清掃費24200円）,安心サポート1600円/月　その他月額負担費用2500円/月,-,https://suumo.jp/chintai/jnc_000089799877/?bc=100362379176
サンシティ吉成,1111.111111,45000,3000円,-,-,-,-,バストイレ別、バルコニー、エアコン、ガスコンロ対応、室内洗濯置、南向き、角住戸、エレベーター、駐輪場、CATV、礼金不要、敷金不要、2沿線利用可、フリーレント、駅徒歩10分以内、バス停徒歩3分以内、敷金・礼金不要,大分県大分市金池町１,"大分バス/金池町 歩2分
ＪＲ日豊本線/大分駅 歩9分
ＪＲ久大本線/古国府駅 歩21分",2DK,和6 D0,40.5,-,7階,南,マンション,鉄骨鉄筋,7階/11階建,築35年,1990年4月,1.8万円2年,-,24年7月下旬,仲介,フリーレント1ヶ月,33883-51,100387023718,90戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,4.95万円,保証会社利用必 ジェイリース株式会社　契約時に賃料等総額の８０％・月額保証料５００円をいただきます。,-,定額水道料３０００円,-,https://suumo.jp/chintai/jnc_000040888434/?bc=100387023718
サンシティ吉成,1429.796969,50000,-,5万円,5万円,-,-,バストイレ別、エアコン、ガスコンロ対応、フローリング、室内洗濯置、エレベーター、駐輪場、押入、CATV、即入居可、2沿線利用可、駅徒歩10分以内、バス停徒歩3分以内,大分県大分市金池町１,"大分バス/金池町 歩2分
ＪＲ日豊本線/大分駅 歩9分
ＪＲ久大本線/古国府駅 歩21分",2DK,-,34.97,-,8階,-,マンション,鉄骨鉄筋,8階/11階建,築35年,1990年4月,1.8万円2年,-,即,仲介,-,33874-51,100385919217,90戸,2024/06/28,次回更新日は情報更新日より１５日以内,-,5.5万円,保証会社利用必 ジェイリース株式会社　初回保証料：月額総賃料８０％　月額保証料：５００円／月,-,定額水道料３０００円,-,https://suumo.jp/chintai/jnc_000028087430/?bc=100385919217
ＡＤＹ　５１,1684.210526,72000,5000円,-,7.2万円,-,-,バストイレ別、エアコン、ガスコンロ対応、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、脱衣所、エレベーター、洗面所独立、宅配ボックス、CATV、ウォークインクロゼット、ネット使用料不要、複層ガラス、プロパンガス,大分県大分市金池町１,ＪＲ日豊本線/大分駅 歩10分,1LDK,-,42.75,-,7階,東,マンション,鉄筋コン,7階/9階建,築3年,2021年8月,要,-,即,仲介,-,382760702,100369904001,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　６３，２００円　更新無,合計6.34万円（内訳：鍵交換代17600円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用400円/月,-,https://suumo.jp/chintai/jnc_000089049592/?bc=100369904001
ＡＤＹ　５１,1730.994152,74000,5000円,-,7.4万円,-,-,バストイレ別、エアコン、ガスコンロ対応、フローリング、シャワー付洗面台、TVインターホン、オートロック、室内洗濯置、温水洗浄便座、脱衣所、エレベーター、洗面所独立、宅配ボックス、CATV、ウォークインクロゼット、ネット使用料不要、複層ガラス、プロパンガス,大分県大分市金池町１,ＪＲ日豊本線/大分駅 歩10分,1LDK,-,42.75,-,9階,東,マンション,鉄筋コン,9階/9階建,築3年,2021年8月,要,-,即,仲介,-,382760902,100369045776,-,2024/06/27,次回更新日は情報更新日より１５日以内,-,-,保証会社利用必 賃貸保証料　６４，８００円　更新無,合計6.34万円（内訳：鍵交換代17600円/その他初期費用45760円）,安心サポート1600円/月　その他月額負担費用400円/月,-,https://suumo.jp/chintai/jnc_000088919106/?bc=100369045776
エイルマンション大分駅前ロゼア,1802.884615,135000,-,13.5万円,27万円,-,-,バストイレ別、バルコニー、クロゼット、シャワー付洗面台、TVインターホン、浴室乾燥機、オートロック、室内洗濯置、南向き、追焚機能浴室、温水洗浄便座、洗面所独立、宅配ボックス、CATV、光ファイバー、対面式キッチン、防犯カメラ、IHクッキングヒーター、出窓、オートバス、敷金1ヶ月、ディンプルキー、CS、ダブルロックキー、ディスポーザー、人感照明センサー、一部フローリング、オープンキッチン、都市ガス、ワイドバルコニー、南面バルコニー、BS、礼金2ヶ月,大分県大分市金池町１,ＪＲ日豊本線/大分駅 歩17分,3LDK,-,74.88,-,12階,南,マンション,鉄骨鉄筋,12階/15階建,築20年,2005年2月,要,敷地内6600円,相談,仲介,-,140,100373674584,-,2024/06/28,次回更新日は情報更新日より８日以内,-,1.1ヶ月,保証会社利用必 初回：総賃料の80％,-,-,-,https://suumo.jp/chintai/jnc_000055943903/?bc=100373674584
